text,labels,use_case
Create a RESTful API that handles notifications and stores data in product catalog,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront,S3",api_service
Deploy a landing page with file sharing,"S3,CloudFront,IAM",static_website
Develop a streaming data platform for analytics,"Lambda,S3,IAM,SQS,ECS",data_processing
Upload and store media files,"S3,IAM",storage
Build a microservices API for CRM with product catalog,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Deploy a landing page with chat functionality,"S3,CloudFront,IAM",static_website
Build a real-time social networking application,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Develop a high-traffic API gateway for social media,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Create a web API without managing servers,"Lambda,API_Gateway,IAM,DynamoDB",serverless
Create a login system for employees,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Build a backend for a mobile app that needs file sharing,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Create a reporting system for user engagement,"S3,Lambda,RDS,IAM,EBS",analytics_platform
Host a simple static website for e-commerce,"S3,CloudFront,IAM",static_website
Build a data pipeline to process sensor data and store in file uploads,"Lambda,S3,IAM,SQS",data_processing
Build a serverless application for inventory management,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Build a data pipeline to process sensor data and store in image storage,"Lambda,S3,IAM,SQS",data_processing
Develop a serverless API for analytics,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Develop a mobile backend for messaging with user data,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM,VPC",mobile_backend
Build a serverless application for inventory management,"API_Gateway,DynamoDB,IAM,S3",serverless
Create a live notifications system,"Lambda,DynamoDB,IAM",real_time_app
Develop a streaming data platform for ETL,"Lambda,S3,IAM,SQS",data_processing
Host a simple static website for booking system,"S3,CloudFront,IAM",static_website
Create a RESTful API that handles tracking and stores data in user data,"API_Gateway,IAM,DynamoDB,CloudFront",api_service
Create a login system for students,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Create a large-scale mobile API with user authentication and SMS notifications,"API_Gateway,Lambda,Cognito,SNS,IAM",mobile_backend
Build a serverless application for inventory management,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Process CSV files uploaded by users,"S3,Lambda,IAM,SQS,CloudFront",file_processing
Build a user authentication system with multi-factor authentication,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Build a serverless API for e-commerce with product catalog,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Create an event-driven system that handles webhooks,"Lambda,API_Gateway,DynamoDB,IAM,S3,SQS",serverless
Build an analytics dashboard for sales data,"S3,Lambda,RDS,IAM",analytics_platform
Build a file conversion service for image resize,"S3,Lambda,IAM,SQS,SNS",file_processing
Build an analytics dashboard for website traffic,"S3,Lambda,RDS,IAM",analytics_platform
Build a file conversion service for video transcoding,"S3,Lambda,IAM,SQS",file_processing
Create a login system for employees,"Cognito,Lambda,IAM",authentication_system
Develop a mobile backend for e-commerce with product catalog,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Build a data pipeline to process CSV files and store in file uploads,"Lambda,S3,IAM,SQS",data_processing
Build a small web application with user authentication and image storage,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Create a React website that needs user data and fast page loads,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Develop a high-traffic API gateway for social media,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Build a data pipeline to process CSV files and store in file uploads,"Lambda,S3,IAM,SQS,CloudFront",data_processing
Create a daily batch processing system for e-commerce,"Lambda,S3,IAM,SQS",data_processing
Create a batch batch processing system for booking system,"Lambda,S3,IAM,SQS",data_processing
Create a login system for employees,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Develop a streaming data platform for ETL,"Lambda,S3,IAM,SQS,Cognito",data_processing
Develop a streaming data platform for machine learning,"Lambda,S3,IAM,SQS",data_processing
Develop a high-traffic API gateway for e-commerce,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront,VPC",api_service
Create a small mobile API with login system and email alerts,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Create a login system for students,"Lambda,IAM,DynamoDB",authentication_system
Create a RESTful API that handles notifications and stores data in analytics data,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Build a small web application with user authentication and media storage,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Create a login system for employees,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Build a real-time fitness tracking application,"API_Gateway,Lambda,DynamoDB,IAM,VPC",real_time_app
Create a login system for students,"Cognito,Lambda,IAM,DynamoDB,VPC",authentication_system
Create a live tracking system,"API_Gateway,Lambda,DynamoDB,IAM,EC2",real_time_app
Build a real-time social networking application,"Lambda,DynamoDB,IAM",real_time_app
Deploy a landing page with payment processing,"S3,CloudFront,IAM",static_website
Deliver content globally with low latency,"CloudFront,S3,IAM",static_website
Send push notifications to mobile users,"SNS,IAM",messaging
Build a serverless application for CRM,"Lambda,API_Gateway,DynamoDB,IAM,S3,ECS",serverless
Create a login system for customers,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Deploy a landing page with file sharing,"S3,CloudFront,IAM",static_website
Create a login system for customers,"Cognito,Lambda,IAM",authentication_system
Build an analytics dashboard for website traffic,"S3,Lambda,RDS,IAM",analytics_platform
Develop a web platform for CRM with file sharing,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Deploy a landing page with payment processing,"S3,CloudFront,IAM,Lambda",static_website
Deploy a landing page with payment processing,"S3,CloudFront,IAM",static_website
Create a login system for customers,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Process video files uploaded by users,"S3,Lambda,IAM,SQS",file_processing
Add persistent disk space to EC2 instance,"EC2,EBS,VPC,IAM",web_application
Build a backend for a mobile app that needs file sharing,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Build a serverless application for booking system,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Create a Angular website that needs user data and edge caching,"EC2,VPC,IAM,S3,RDS,CloudFront,Cognito",web_application
Build a user authentication system with social login,"Cognito,Lambda,IAM,DynamoDB,RDS",authentication_system
Deploy multiple Docker images for different services,"ECS,VPC,IAM,CloudFront",web_application
Run containerized batch processing jobs,"ECS,S3,VPC,IAM,SQS",data_processing
Create a real-time batch processing system for social media,"Lambda,S3,IAM,SQS,SNS",data_processing
Develop a serverless API for IoT devices,"Lambda,API_Gateway,DynamoDB,S3",serverless
Develop a serverless API for analytics,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Build an analytics dashboard for website traffic,"S3,Lambda,RDS,IAM",analytics_platform
Build a user authentication system with social login,"Lambda,IAM,DynamoDB,ECS",authentication_system
Attach persistent disk storage to virtual machine,"EC2,EBS,VPC,IAM",web_application
Create a RESTful API that handles updates and stores data in product catalog,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront,S3",api_service
Create a login system for employees,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Develop a serverless API for ETL,"Lambda,API_Gateway,DynamoDB,IAM,S3,EC2",serverless
Build a real-time fitness tracking application,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Deploy a landing page with chat functionality,"S3,CloudFront,IAM",static_website
Create a live tracking system,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Host multiple containerized applications,"ECS,VPC,IAM,RDS,CloudFront",web_application
Build a real-time fitness tracking application,"API_Gateway,Lambda,DynamoDB,IAM,S3",real_time_app
Build a data pipeline to process logs and store in media storage,"Lambda,S3,SQS",data_processing
Develop a mobile backend for social networking with transaction history,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Create a small mobile API with login system and SMS notifications,"Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Create a RESTful API that handles messaging and stores data in analytics data,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront,SNS",api_service
Create an event-driven system that handles webhooks,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Create a login system for students,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Host a simple static website for inventory management,"S3,CloudFront,IAM",static_website
Develop a web platform for CRM with real-time updates,"EC2,VPC,IAM,S3,RDS,CloudFront,API_Gateway",web_application
Build an analytics dashboard for user behavior,"S3,RDS,IAM",analytics_platform
Host a simple static website for booking system,"S3,CloudFront,IAM",static_website
Create a high-traffic mobile API with social login and email alerts,"API_Gateway,DynamoDB,Cognito,SNS,IAM",mobile_backend
Build a small web application with user authentication and file uploads,"EC2,VPC,IAM,S3,RDS,CloudFront,SNS",web_application
Build a microservices API for e-commerce with transaction history,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront,Cognito",api_service
Create a login system for partners,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Create a live tracking system,"API_Gateway,DynamoDB,IAM",real_time_app
Create a RESTful API that handles updates and stores data in user data,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Build a medium web application with login system and media storage,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Host a simple static website for e-commerce,"S3,CloudFront,IAM",static_website
Host a simple static website for social media,"S3,CloudFront,IAM",static_website
Build a file conversion service for video transcoding,"S3,Lambda,IAM,SQS",file_processing
Build a file conversion service for video transcoding,"S3,Lambda,IAM,SQS",file_processing
Build a real-time messaging application,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Create a reporting system for user engagement,"S3,Lambda,RDS,IAM,EC2",analytics_platform
Build a real-time e-commerce application,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Create a large-scale mobile API with social login and SMS notifications,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Create a login system for employees,"Lambda,IAM,DynamoDB",authentication_system
Develop a serverless API for IoT devices,"Lambda,API_Gateway,DynamoDB,IAM,S3,SNS",serverless
Develop a serverless API for analytics,"Lambda,DynamoDB,IAM,S3",serverless
Host a simple static website for e-commerce,"S3,CloudFront,IAM",static_website
Mount persistent volumes for file system,"EC2,EBS,VPC,IAM",web_application
Create a live notifications system,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Develop a streaming data platform for IoT devices,"Lambda,S3,IAM,SQS",data_processing
Implement user signup and login system,"Cognito,IAM",authentication_system
Develop a serverless API for analytics,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Build a user authentication system with multi-factor authentication,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Build a backend for a mobile app that needs file sharing,"API_Gateway,Lambda,Cognito,SNS,IAM,VPC",mobile_backend
Host a simple static website for social media,"S3,CloudFront,IAM",static_website
Build a real-time e-commerce application,"API_Gateway,Lambda,DynamoDB,IAM,RDS",real_time_app
Develop a streaming data platform for ETL,"Lambda,S3,IAM,SQS",data_processing
Queue background jobs for processing,"SQS,IAM",messaging
Need block storage volumes for database server,"EC2,EBS,VPC,IAM,RDS",database
Create a Angular website that needs user data and global content delivery,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Build a backend for a mobile app that needs real-time updates,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Attach storage volumes to compute instances,"EC2,EBS,VPC,IAM",web_application
Build a file conversion service for PDF to text,"S3,IAM,SQS",file_processing
Build a GraphQL API for social media with analytics data,"API_Gateway,Lambda,DynamoDB,CloudFront",api_service
Build a file conversion service for PDF to text,"S3,Lambda,IAM,SQS,EBS",file_processing
Build a file conversion service for video transcoding,"S3,Lambda,IAM,SQS",file_processing
Build a real-time messaging application,"API_Gateway,Lambda,DynamoDB",real_time_app
Process image files uploaded by users,"S3,Lambda,IAM,SQS",file_processing
Build a small web application with social login and media storage,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Process CSV files uploaded by users,"S3,Lambda,IAM,SQS,SNS",file_processing
Build a user authentication system with social login,"Cognito,IAM,DynamoDB",authentication_system
Create a reporting system for user engagement,"Lambda,RDS,IAM,SNS",analytics_platform
Create a high-traffic mobile API with user authentication and SMS notifications,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM,VPC",mobile_backend
Deploy a landing page with payment processing,"S3,CloudFront,IAM",static_website
Host a simple HTML/CSS/JS website,"S3,CloudFront,IAM",static_website
Process Excel files uploaded by users,"S3,Lambda,IAM,SQS,RDS",file_processing
Build a file conversion service for video transcoding,"S3,Lambda,IAM,SQS",file_processing
Build a serverless application for inventory management,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Create a live updates system,"API_Gateway,DynamoDB,IAM",real_time_app
Process Excel files uploaded by users,"S3,Lambda,IAM,SQS",file_processing
Create an event-driven system that sends notifications,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Host a simple static website for inventory management,"S3,CloudFront,IAM",static_website
Build a RESTful API for social media with transaction history,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Build a real-time messaging application,"API_Gateway,Lambda,DynamoDB,IAM,EBS",real_time_app
Build a real-time e-commerce application,"API_Gateway,Lambda,IAM,SQS",real_time_app
Create a React website that needs transaction history and global content delivery,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Build a data pipeline to process videos and store in media storage,"Lambda,S3,IAM,SQS",data_processing
Build a GraphQL API for inventory management with product catalog,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Create a high-traffic mobile API with login system and push notifications,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM,RDS",mobile_backend
Build a large-scale web application with login system and media storage,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Create a live notifications system,"Lambda,DynamoDB,IAM",real_time_app
Deploy microservices using Docker Compose,"ECS,VPC,IAM,DynamoDB,S3",web_application
Build a file conversion service for video transcoding,"S3,Lambda,IAM,SQS",file_processing
Create a reporting system for revenue,"S3,Lambda,RDS,IAM",analytics_platform
Build a real-time messaging application,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Build a real-time social networking application,"API_Gateway,DynamoDB,IAM,CloudFront",real_time_app
Build a serverless web application with user login,"Lambda,API_Gateway,DynamoDB,Cognito,IAM,CloudFront",serverless
Create a login system for customers,"Cognito,Lambda,IAM,DynamoDB,VPC",authentication_system
Build a data pipeline to process images and store in file uploads,"Lambda,S3,IAM,SQS,EBS",data_processing
Create a reporting system for revenue,"S3,Lambda,RDS",analytics_platform
Deploy a landing page with file sharing,"S3,CloudFront,IAM,RDS",static_website
Build a microservices API for booking system with user data,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront,EBS",api_service
Build a backend for a mobile app that needs chat functionality,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Build an analytics dashboard for IoT sensors,"S3,Lambda,RDS,IAM",analytics_platform
Add disk volumes to running instances,"EC2,EBS,VPC,IAM",compute
Create a live tracking system,"Lambda,DynamoDB,IAM",real_time_app
Build a traditional REST API on virtual machines,"EC2,VPC,IAM,RDS,API_Gateway",api_service
Create a medium mobile API with login system and SMS notifications,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Build a file conversion service for image resize,"Lambda,IAM,SQS,Cognito",file_processing
Build a data pipeline to process videos and store in file uploads,"Lambda,S3,IAM,SQS",data_processing
Create a reporting system for system performance,"S3,Lambda,RDS,IAM",analytics_platform
Develop a streaming data platform for machine learning,"Lambda,S3,IAM,SQS",data_processing
Build a real-time messaging application,"Lambda,DynamoDB,IAM",real_time_app
Build a serverless API for social media with transaction history,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Build a backend for a mobile app that needs payment processing,"API_Gateway,DynamoDB,Cognito,SNS,IAM",mobile_backend
Host a simple static website for e-commerce,"S3,CloudFront,IAM",static_website
Create a medium mobile API with OAuth and push notifications,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Build a large-scale web application with login system and file uploads,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Create a RESTful API that handles tracking and stores data in user data,"API_Gateway,Lambda,IAM,CloudFront",api_service
Create a login system for partners,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Build a user authentication system with SSO,"Cognito,Lambda,IAM,DynamoDB,RDS",authentication_system
Create a reporting system for user engagement,"S3,Lambda,RDS,IAM",analytics_platform
Develop a serverless API for ETL,"Lambda,API_Gateway,IAM,S3,EC2",serverless
Create a medium mobile API with social login and SMS notifications,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Develop a serverless API for IoT devices,"Lambda,API_Gateway,DynamoDB,IAM,S3,SQS",serverless
Create an event-driven system that generates reports,"Lambda,API_Gateway,DynamoDB,IAM,S3,EBS",serverless
Build a real-time fitness tracking application,"API_Gateway,Lambda,DynamoDB,IAM,CloudFront",real_time_app
Develop a medium API gateway for e-commerce,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront,SNS",api_service
Create a reporting system for user engagement,"S3,Lambda,RDS,IAM",analytics_platform
Process video files uploaded by users,"S3,Lambda,SQS",file_processing
Build a medium web application with social login and file uploads,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Create a login system for customers,"Cognito,Lambda,IAM,DynamoDB,EBS",authentication_system
Build a large-scale web application with OAuth and document storage,"EC2,VPC,IAM,S3,RDS,CloudFront,Lambda",web_application
Create a reporting system for system performance,"S3,Lambda,RDS,IAM",analytics_platform
Deploy a landing page with file sharing,"S3,CloudFront,IAM,EC2",static_website
Build a data pipeline to process images and store in image storage,"Lambda,S3,IAM,SQS",data_processing
Build a user authentication system with multi-factor authentication,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Develop a mobile backend for e-commerce with transaction history,"Lambda,DynamoDB,Cognito,SNS,IAM,S3",mobile_backend
Build a file conversion service for video transcoding,"S3,Lambda,IAM,SQS,CloudFront",file_processing
Build a real-time messaging application,"API_Gateway,Lambda,DynamoDB,RDS",real_time_app
Build a data pipeline to process images and store in image storage,"Lambda,S3,IAM,SQS",data_processing
Deploy a landing page with file sharing,"S3,CloudFront,IAM,DynamoDB",static_website
Develop a streaming data platform for machine learning,"Lambda,IAM,SQS,Cognito",data_processing
Build a backend for a mobile app that needs payment processing,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Build a data pipeline to process videos and store in document storage,"Lambda,S3,IAM,SQS",data_processing
Create a small mobile API with OAuth and email alerts,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Create a reporting system for user engagement,"S3,Lambda,RDS,IAM",analytics_platform
Build a file conversion service for image resize,"S3,Lambda,IAM,SQS,EC2",file_processing
Host a simple static website for e-commerce,"S3,CloudFront,IAM",static_website
Create a login system for partners,"Cognito,Lambda,IAM,DynamoDB,RDS",authentication_system
Run Docker containers for my web application,"ECS,VPC,IAM,RDS",web_application
Deploy a landing page with chat functionality,"S3,CloudFront,IAM,Cognito",static_website
Develop a small API gateway for e-commerce,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Develop a web platform for booking system with payment processing,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Create a Next.js website that needs user data and edge caching,"EC2,VPC,IAM,S3,RDS,CloudFront,EBS",web_application
Need high-performance disk storage for server,"EC2,EBS,VPC,IAM",compute
Build a serverless application for inventory management,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Host a simple static website for inventory management,"S3,CloudFront,IAM",static_website
Build a file conversion service for image resize,"S3,Lambda,IAM,SQS",file_processing
Develop a medium API gateway for social media,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Host a simple static website for booking system,"S3,CloudFront,IAM,DynamoDB",static_website
Develop a high-traffic API gateway for CRM,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Create a Angular website that needs user data and edge caching,"EC2,VPC,IAM,S3,RDS,CloudFront,Cognito",web_application
Create a RESTful API that handles tracking and stores data in product catalog,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront,EC2",api_service
Build a high-traffic web application with login system and image storage,"EC2,VPC,IAM,S3,RDS,CloudFront,API_Gateway",web_application
Develop a streaming data platform for IoT devices,"Lambda,S3,IAM,SQS,RDS",data_processing
Develop a streaming data platform for machine learning,"Lambda,S3,IAM,SQS",data_processing
Create a live messaging system,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Create a high-traffic mobile API with user authentication and push notifications,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM,EC2",mobile_backend
Create a login system for partners,"Cognito,Lambda,IAM,DynamoDB",authentication_system
Create a large-scale mobile API with login system and SMS notifications,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM,EBS",mobile_backend
Create a Angular website that needs transaction history and global content delivery,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Build a GraphQL API for CRM with product catalog,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront",api_service
Build a real-time social networking application,"API_Gateway,Lambda,DynamoDB,IAM",real_time_app
Build a data pipeline to process CSV files and store in image storage,"Lambda,S3,IAM,SQS",data_processing
Build a high-traffic web application with user authentication and media storage,"EC2,VPC,IAM,S3,RDS,CloudFront",web_application
Develop a streaming data platform for ETL,"Lambda,S3,IAM,SQS",data_processing
Develop a serverless API for IoT devices,"Lambda,API_Gateway,DynamoDB,IAM,S3",serverless
Host a simple static website for inventory management,"S3,CloudFront,IAM",static_website
Host a simple static website for social media,"S3,CloudFront,IAM",static_website
Create a reporting system for revenue,"S3,Lambda,RDS,IAM",analytics_platform
Create a RESTful API that handles notifications and stores data in transaction history,"API_Gateway,Lambda,IAM,DynamoDB,CloudFront,SNS",api_service
Create an event-driven system that generates reports,"Lambda,DynamoDB,IAM,S3",serverless
Create a reporting system for user engagement,"S3,Lambda,RDS,IAM",analytics_platform
Build a backend for a mobile app that needs file sharing,"API_Gateway,Lambda,DynamoDB,Cognito,SNS,IAM",mobile_backend
Build a file conversion service for video transcoding,"S3,Lambda,IAM,SQS",file_processing
